Category,GRN no,Customer/Vendor Code,VendorName,Address,LC No,Posting Date,Item No.,Item Description,Inventory UoM,Quantity,Price,Price USD,Total Amount
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40570,GETSAL COPPER SULPHATE,KG,100,3.34,3.34,334
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40520,GETSAL CDS ( M ),KG,500,5.47,5.47,"2,735.00"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40517,SODIUM SYANIDE ( SC ),KG,950,5.72,5.72,"5,434.00"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40508,GETSAL BCC,KG,700,6.42,6.42,"4,494.00"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40514,GETSALT T ( SALT ),KG,300,23.47,23.47,"7,041.00"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40507,GETSAL CU CY,KG,600,15.97,15.97,"9,582.00"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40501,CHEMTIN 4525 (S),KG,130,11.97,11.97,"1,556.10"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40515,GETSALT S ( SALT ),KG,220,8.27,8.27,"1,819.40"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40519,MSP 4115 ( M ),LTR,500,5.97,5.97,"2,985.00"
Chemical,553,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",209721020025,4/10/2021,40372,ULTRABRITE CTZ-1 (M),LTR,100,1.77,1.77,177
Chemical,5701,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",135622020065,4/27/2022,40501,CHEMTIN 4525 (S),KG,200,12.82,12.82,"2,564.00"
Chemical,5701,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",135622020065,4/27/2022,40507,GETSAL CU CY,KG,500,16.37,16.37,"8,185.00"
Chemical,5701,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",135622020065,4/27/2022,40515,GETSALT S ( SALT ),KG,100,8.47,8.47,847
Chemical,5701,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",135622020065,4/27/2022,40516,GETSALT Z,KG,50,13.77,13.77,688.5
Chemical,5701,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",135622020065,4/27/2022,40517,SODIUM SYANIDE ( SC ),KG,"1,500.00",9.97,9.97,"14,955.00"
Chemical,5701,V000000094,GTZ (INDIA) PVT LTD.,"9, Brabourne Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",135622020065,4/27/2022,40508,GETSAL BCC,KG,"1,000.00",6.97,6.97,"6,970.00"
Chemical,8352,V000000257,ANTONG TRUMPCHI TRADE DEVELOPMENT CO. LTD,,135622230061,9/23/2022,40630,A-H HARDNER,KG,150,24.26,24.26,"3,639.00"
Chemical,8352,V000000257,ANTONG TRUMPCHI TRADE DEVELOPMENT CO. LTD,,135622230061,9/23/2022,40650,LEMON YELLOW 713,Gal,6,29.7,29.7,178.2
Chemical,1906,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135621020078,8/17/2021,40630,A-H HARDNER,KG,600,11.48,11.48,"6,888.00"
Chemical,1906,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135621020078,8/17/2021,40635,A-P/Z (PHOSPHATING ZINC ALLOY),KG,900,3.6,3.6,"3,240.00"
Chemical,1906,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135621020078,8/17/2021,40636,A-P/A ( PEEL AGENT ),KG,525,3.6,3.6,"1,890.00"
Chemical,2599,V000000046,BEST LUBRICANTS (PVT.) LTD.,,,9/30/2021,40413,CUTTING OIL,Ltr,205,312.195121,3.67,752.94
Chemical,2599,V000000046,BEST LUBRICANTS (PVT.) LTD.,,,9/30/2021,40411,HYDROLIC OIL,Ltr,205,243.90244,2.87,588.24
Chemical,6429,V000000058,M/S REFAT TRADERS,,,6/13/2022,40562,DIESEL,Ltr,25,80,0.94,23.53
Chemical,7122,V000000058,M/S REFAT TRADERS,,,7/28/2022,40562,DIESEL,Ltr,50,80,0.94,47.06
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40636,A-P/A ( PEEL AGENT ),KG,522,3.6,3.6,"1,879.20"
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40636,A-P/A ( PEEL AGENT ),KG,500,3.6,3.6,"1,800.00"
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40636,A-P/A ( PEEL AGENT ),KG,200,3.6,3.6,720
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40630,A-H HARDNER,KG,195,12.39,12.39,"2,416.05"
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40349,SODIUM POTACIUM TETRATE ( MAKE UP SALT SPT),KG,75,3,3,225
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40354,POLISHING AGENT SS ( PO ),KG,190,2.16,2.16,410.4
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40635,A-P/Z (PHOSPHATING ZINC ALLOY),KG,400,3.6,3.6,"1,440.00"
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40635,A-P/Z (PHOSPHATING ZINC ALLOY),KG,200,3.6,3.6,720
Chemical,7347,V000000171,HONGKONG HANLIN INT. TRADE CO.LTD.,,135622230053,8/7/2022,40635,A-P/Z (PHOSPHATING ZINC ALLOY),KG,100,3.6,3.6,360
